instance,n,run,seed,sa_length,sa_runtime_sec,aco_length,aco_runtime_sec,opt_length,sa_ratio,aco_ratio
small,10,1,5000,2641.3887564142315,0.142773,2641.3887564142315,3.202726,2641.3887564142315,1.0,1.0
small,10,2,5001,2641.3887564142315,0.142548,2641.3887564142315,3.212205,2641.3887564142315,1.0,1.0
small,10,3,5002,2641.3887564142315,0.143016,2641.3887564142315,3.252226,2641.3887564142315,1.0,1.0
small,10,4,5003,2641.3887564142315,0.142587,2641.3887564142315,3.252412,2641.3887564142315,1.0,1.0
small,10,5,5004,2641.3887564142315,0.14461,2641.3887564142315,3.217681,2641.3887564142315,1.0,1.0
small,10,6,5005,2641.3887564142315,0.126361,2641.3887564142315,3.25905,2641.3887564142315,1.0,1.0
small,10,7,5006,2641.3887564142315,0.12588,2641.3887564142315,3.185383,2641.3887564142315,1.0,1.0
small,10,8,5007,2641.3887564142315,0.142899,2641.3887564142315,3.228759,2641.3887564142315,1.0,1.0
small,10,9,5008,2641.3887564142315,0.142873,2641.3887564142315,3.206966,2641.3887564142315,1.0,1.0
small,10,10,5009,2641.3887564142315,0.127214,2641.3887564142315,3.270609,2641.3887564142315,1.0,1.0
small,10,11,5010,2641.3887564142315,0.143582,2641.3887564142315,3.187441,2641.3887564142315,1.0,1.0
small,10,12,5011,2641.3887564142315,0.129815,2641.3887564142315,3.284483,2641.3887564142315,1.0,1.0
small,10,13,5012,2641.3887564142315,0.142774,2641.3887564142315,3.32097,2641.3887564142315,1.0,1.0
small,10,14,5013,2641.3887564142315,0.142682,2641.3887564142315,3.238944,2641.3887564142315,1.0,1.0
small,10,15,5014,2641.3887564142315,0.127042,2641.3887564142315,3.229556,2641.3887564142315,1.0,1.0
small,10,16,5015,2641.3887564142315,0.127746,2641.3887564142315,3.251551,2641.3887564142315,1.0,1.0
small,10,17,5016,2641.3887564142315,0.143161,2641.3887564142315,3.216875,2641.3887564142315,1.0,1.0
small,10,18,5017,2641.3887564142315,0.12613,2641.3887564142315,3.201612,2641.3887564142315,1.0,1.0
small,10,19,5018,2641.3887564142315,0.142591,2641.3887564142315,3.247377,2641.3887564142315,1.0,1.0
small,10,20,5019,2641.3887564142315,0.141819,2641.3887564142315,3.193033,2641.3887564142315,1.0,1.0
small,10,21,5020,2641.3887564142315,0.143046,2641.3887564142315,3.220916,2641.3887564142315,1.0,1.0
small,10,22,5021,2641.3887564142315,0.12799,2641.3887564142315,3.237971,2641.3887564142315,1.0,1.0
small,10,23,5022,2641.3887564142315,0.144376,2641.3887564142315,3.240029,2641.3887564142315,1.0,1.0
small,10,24,5023,2641.3887564142315,0.143497,2641.3887564142315,3.240713,2641.3887564142315,1.0,1.0
small,10,25,5024,2641.3887564142315,0.142896,2641.3887564142315,3.251294,2641.3887564142315,1.0,1.0
small,10,26,5025,2641.3887564142315,0.143123,2641.3887564142315,3.203875,2641.3887564142315,1.0,1.0
small,10,27,5026,2641.3887564142315,0.142056,2641.3887564142315,3.241946,2641.3887564142315,1.0,1.0
small,10,28,5027,2641.3887564142315,0.142315,2641.3887564142315,3.232118,2641.3887564142315,1.0,1.0
small,10,29,5028,2641.3887564142315,0.142829,2641.3887564142315,3.179911,2641.3887564142315,1.0,1.0
small,10,30,5029,2641.3887564142315,0.143557,2641.3887564142315,3.2621,2641.3887564142315,1.0,1.0
